avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.66,0.66,6.98,0.5543109312306146,0.17,-4762,4762,0.0,0.0,0.0,0.10316666666666667
-0.8,0.8,6.0,0.5487951708942683,0.1,-4842,4842,0.0,0.0,0.0,0.10311475409836066
-0.8,0.8,6.19,0.5433342960208886,0.1,-4922,4922,0.0,0.0,0.0,0.10306451612903225
-0.8,0.8,6.29,0.5379277604638235,0.1,-5002,5002,0.0,0.0,0.0,0.10301587301587302
-0.84,0.84,6.2,0.5325750235109391,0.08,-5086,5086,0.0,0.0,0.0,0.10265625
-0.9,0.9,5.51,0.5272755498305473,0.05,-5176,5176,0.0,0.0,0.0,0.10184615384615385
-0.72,0.72,7.36,0.5220288094178624,0.14,-5248,5248,0.0,0.0,0.0,0.10242424242424242
-0.7,0.7,7.1,0.5168342775419988,0.15,-5318,5318,0.0,0.0,0.0,0.10313432835820896
-0.76,0.76,6.44,0.5116914346934888,0.12,-5394,5394,0.0,0.0,0.0,0.10338235294117647
-0.76,0.76,6.07,0.506599766532328,0.12,-5470,5470,0.0,0.0,0.0,0.1036231884057971
-0.8,0.8,5.97,0.5015587638365347,0.1,-5550,5550,0.0,0.0,0.0,0.10357142857142858
-0.82,0.82,6.11,0.496567922451223,0.09,-5632,5632,0.0,0.0,0.0,0.10338028169014085
-0.82,0.82,5.89,0.4916267432381818,0.09,-5714,5714,0.0,0.0,0.0,0.10319444444444445
-0.74,0.74,6.35,0.4867347320259549,0.13,-5788,5788,0.0,0.0,0.0,0.10356164383561643
-0.72,0.72,5.86,0.48189139956041893,0.14,-5860,5860,0.0,0.0,0.0,0.10405405405405406
-0.96,0.96,4.9,0.4770962614558525,0.02,-5956,5956,0.0,0.0,0.0,0.10293333333333334
-0.74,0.74,6.04,0.4723488381464926,0.13,-6030,6030,0.0,0.0,0.0,0.10328947368421053
-0.8,0.8,5.83,0.467648654838573,0.1,-6110,6110,0.0,0.0,0.0,0.10324675324675325
-0.82,0.82,5.82,0.46299524146283894,0.09,-6192,6192,0.0,0.0,0.0,0.10307692307692308
-0.76,0.76,6.85,0.4583881326275357,0.12,-6268,6268,0.0,0.0,0.0,0.10329113924050633
-0.76,0.76,6.32,0.45382686757186447,0.12,-6344,6344,0.0,0.0,0.0,0.1035
-0.84,0.84,6.09,0.4493109901199013,0.08,-6428,6428,0.0,0.0,0.0,0.10320987654320987
-0.64,0.64,6.19,0.44484004863497356,0.18,-6492,6492,0.0,0.0,0.0,0.10414634146341463
-0.84,0.84,5.97,0.4404135959744933,0.08,-6576,6576,0.0,0.0,0.0,0.10385542168674698
-0.76,0.76,5.77,0.4360311894452362,0.12,-6652,6652,0.0,0.0,0.0,0.10404761904761904
-0.7,0.7,6.43,0.4316923907590687,0.15,-6722,6722,0.0,0.0,0.0,0.10458823529411765
-0.78,0.78,5.93,0.42739676598911336,0.11,-6800,6800,0.0,0.0,0.0,0.10465116279069768
-0.86,0.86,5.5,0.42314388552635285,0.07,-6886,6886,0.0,0.0,0.0,0.10425287356321838
-0.7,0.7,5.9,0.4189333240366638,0.15,-6956,6956,0.0,0.0,0.0,0.10477272727272727
-1.0,1.0,5.91,0.41476466041827703,0.15,-7056,7056,0.0,0.0,0.0,0.10359550561797753
-0.78,0.78,5.95,0.41063747775966636,0.11,-7134,7134,0.0,0.0,0.0,0.10366666666666667
-0.78,0.78,6.23,0.4065513632978508,0.11,-7212,7212,0.0,0.0,0.0,0.10373626373626374
-0.74,0.74,6.03,0.40250590837711264,0.13,-7286,7286,0.0,0.0,0.0,0.10402173913043478
-0.68,0.68,6.52,0.39850070840813034,0.16,-7354,7354,0.0,0.0,0.0,0.1046236559139785
-0.76,0.76,6.73,0.39453536282751267,0.12,-7430,7430,0.0,0.0,0.0,0.10478723404255319
-0.88,0.88,4.96,0.3906094750577395,0.06,-7518,7518,0.0,0.0,0.0,0.10431578947368421
-0.62,0.62,7.08,0.3867226524674988,0.19,-7580,7580,0.0,0.0,0.0,0.10520833333333333
-0.82,0.82,5.56,0.38287450633242015,0.09,-7662,7662,0.0,0.0,0.0,0.10505154639175257
-0.68,0.68,5.89,0.3790646517961982,0.16,-7730,7730,0.0,0.0,0.0,0.10561224489795919
-0.84,0.84,5.85,0.375292707832101,0.08,-7814,7814,0.0,0.0,0.0,0.10535353535353535
-0.86,0.86,6.2,0.37155829720486555,0.07,-7900,7900,0.0,0.0,0.0,0.105
