avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.72,0.72,5.96,1,0.14,-72,72,0.0,0.0,0.0,0.14
-0.84,0.84,6.14,0.9900493386913721,0.08,-156,156,0.0,0.0,0.0,0.11
-0.82,0.82,5.53,0.980197693043223,0.09,-238,238,0.0,0.0,0.0,0.10333333333333333
-0.74,0.74,6.31,0.970444077784251,0.13,-312,312,0.0,0.0,0.0,0.11
-0.8,0.8,5.12,0.9607875174472562,0.1,-392,392,0.0,0.0,0.0,0.108
-0.78,0.78,5.39,0.9512270462715811,0.11,-470,470,0.0,0.0,0.0,0.10833333333333334
-0.8,0.8,6.37,0.9417617081065252,0.1,-550,550,0.0,0.0,0.0,0.10714285714285714
-0.8,0.8,6.2,0.9323905563157222,0.1,-630,630,0.0,0.0,0.0,0.10625
-0.82,0.82,5.58,0.9231126536824614,0.09,-712,712,0.0,0.0,0.0,0.10444444444444445
-0.82,0.82,6.01,0.9139270723159584,0.09,-794,794,0.0,0.0,0.0,0.103
-0.82,0.82,5.81,0.9048328935585562,0.09,-960,960,0.0,0.0,0.0,0.1
-0.78,0.78,5.82,0.8958292078938495,0.11,-1038,1038,0.0,0.0,0.0,0.10076923076923076
-0.92,0.92,5.12,0.886915114855721,0.04,-1130,1130,0.0,0.0,0.0,0.09642857142857143
-1.0,1.0,5.09,0.8780897229382887,0.04,-1230,1230,0.0,0.0,0.0,0.09
-1.0,1.0,5.98,0.8693521495067424,0.04,-1330,1330,0.0,0.0,0.0,0.084375
-1.0,1.0,6.79,0.8607015207090729,0.04,-1430,1430,0.0,0.0,0.0,0.07941176470588235
-0.9,0.9,5.78,0.8521369713886755,0.05,-1520,1520,0.0,0.0,0.0,0.07777777777777778
-0.76,0.76,6.14,0.843657644997827,0.12,-1596,1596,0.0,0.0,0.0,0.08
-1.0,1.0,6.14,0.8352626935120188,0.12,-1696,1696,0.0,0.0,0.0,0.076
-0.98,0.98,6.22,0.8269512773451482,0.01,-1794,1794,0.0,0.0,0.0,0.07285714285714286
-1.0,1.0,6.45,0.8187225652655491,0.01,-1994,1994,0.0,0.0,0.0,0.06652173913043478
-1.0,1.0,5.44,0.8105757343128605,0.01,-2094,2094,0.0,0.0,0.0,0.06375
-1.0,1.0,5.93,0.8025099697157205,0.01,-2194,2194,0.0,0.0,0.0,0.0612
-0.76,0.76,5.88,0.7945244648102819,0.12,-2270,2270,0.0,0.0,0.0,0.06346153846153846
-0.74,0.74,6.39,0.7866184209595359,0.13,-2344,2344,0.0,0.0,0.0,0.06592592592592593
-0.88,0.88,5.65,0.7787910474734399,0.06,-2432,2432,0.0,0.0,0.0,0.06571428571428571
-0.88,0.88,5.32,0.7710415615298397,0.06,-2520,2520,0.0,0.0,0.0,0.06551724137931035
-0.78,0.78,6.23,0.7633691880961806,0.11,-2598,2598,0.0,0.0,0.0,0.067
-0.76,0.76,6.1,0.7557731598519929,0.12,-2674,2674,0.0,0.0,0.0,0.06870967741935484
-0.9,0.9,5.22,0.748252717112154,0.05,-2764,2764,0.0,0.0,0.0,0.068125
-0.86,0.86,5.06,0.74080710775091,0.07,-2930,2930,0.0,0.0,0.0,0.06911764705882353
-0.88,0.88,6.75,0.7334355871266565,0.06,-3018,3018,0.0,0.0,0.0,0.06885714285714285
-0.68,0.68,6.45,0.7261374180074647,0.16,-3086,3086,0.0,0.0,0.0,0.07138888888888889
-0.66,0.66,7.0,0.7189118704973512,0.17,-3152,3152,0.0,0.0,0.0,0.07405405405405406
-0.74,0.74,7.19,0.7117582219632792,0.13,-3226,3226,0.0,0.0,0.0,0.07552631578947368
-0.9,0.9,4.09,0.7046757569628911,0.05,-3316,3316,0.0,0.0,0.0,0.07487179487179488
-0.82,0.82,6.17,0.697663767172952,0.09,-3398,3398,0.0,0.0,0.0,0.07525
-1.0,1.0,6.21,0.6907215513185129,0.09,-3498,3498,0.0,0.0,0.0,0.07341463414634146
-0.74,0.74,6.35,0.6838484151027725,0.13,-3572,3572,0.0,0.0,0.0,0.07476190476190477
-0.86,0.86,5.98,0.6770436711376424,0.07,-3658,3658,0.0,0.0,0.0,0.07465116279069768
-0.84,0.84,5.91,0.6703066388750015,0.08,-3828,3828,0.0,0.0,0.0,0.07466666666666667
-0.7,0.7,6.54,0.6636366445386316,0.15,-3898,3898,0.0,0.0,0.0,0.07630434782608696
-0.78,0.78,5.93,0.657033021056833,0.11,-3976,3976,0.0,0.0,0.0,0.07702127659574468
-0.84,0.84,5.23,0.6504951079957114,0.08,-4060,4060,0.0,0.0,0.0,0.07708333333333334
-0.74,0.74,5.8,0.6440222514931265,0.13,-4134,4134,0.0,0.0,0.0,0.07816326530612244
-0.74,0.74,6.51,0.6376138041932984,0.13,-4208,4208,0.0,0.0,0.0,0.0792
-0.84,0.84,5.44,0.6312691251820646,0.08,-4292,4292,0.0,0.0,0.0,0.0792156862745098
-0.68,0.68,6.62,0.6249875799227835,0.16,-4360,4360,0.0,0.0,0.0,0.08076923076923077
-0.84,0.84,6.15,0.6187685401928729,0.08,-4444,4444,0.0,0.0,0.0,0.08075471698113207
-0.8,0.8,5.76,0.6126113840209793,0.1,-4524,4524,0.0,0.0,0.0,0.0811111111111111
-0.76,0.76,5.48,0.6065154956247766,0.12,-4678,4678,0.0,0.0,0.0,0.08232142857142857
-0.92,0.92,5.95,0.6004802653493791,0.04,-4770,4770,0.0,0.0,0.0,0.08157894736842106
-0.8,0.8,6.96,0.594505089606372,0.1,-4850,4850,0.0,0.0,0.0,0.08189655172413793
-0.82,0.82,5.85,0.5885893708134431,0.09,-4932,4932,0.0,0.0,0.0,0.08203389830508474
-0.84,0.84,5.4,0.5827325173346204,0.08,-5016,5016,0.0,0.0,0.0,0.082
-0.78,0.78,6.21,0.5769339434210992,0.11,-5094,5094,0.0,0.0,0.0,0.08245901639344262
-0.78,0.78,5.7,0.5711930691526644,0.11,-5172,5172,0.0,0.0,0.0,0.08290322580645161
-0.86,0.86,6.24,0.565509320379691,0.07,-5258,5258,0.0,0.0,0.0,0.0826984126984127
-0.88,0.88,5.54,0.5598821286657205,0.06,-5346,5346,0.0,0.0,0.0,0.08234375
-0.76,0.76,6.23,0.5543109312306146,0.12,-5422,5422,0.0,0.0,0.0,0.08292307692307692
-0.76,0.76,6.47,0.5487951708942683,0.12,-5572,5572,0.0,0.0,0.0,0.08417910447761194
