avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.76,0.76,5.56,1,0.12,-76,76,0.0,0.0,0.0,0.12
-0.66,0.66,5.7,0.9900493386913721,0.17,-142,142,0.0,0.0,0.0,0.145
-0.7,0.7,5.12,0.980197693043223,0.15,-212,212,0.0,0.0,0.0,0.14666666666666667
-0.68,0.68,5.41,0.970444077784251,0.16,-280,280,0.0,0.0,0.0,0.15
-0.82,0.82,5.45,0.9607875174472562,0.09,-362,362,0.0,0.0,0.0,0.138
-0.64,0.64,6.0,0.9512270462715811,0.18,-426,426,0.0,0.0,0.0,0.145
-0.5,0.5,6.52,0.9417617081065252,0.25,-476,476,0.0,0.0,0.0,0.16
-0.8,0.8,5.4,0.9323905563157222,0.1,-556,556,0.0,0.0,0.0,0.1525
-0.66,0.66,5.42,0.9231126536824614,0.17,-622,622,0.0,0.0,0.0,0.15444444444444444
-0.64,0.64,6.23,0.9139270723159584,0.18,-686,686,0.0,0.0,0.0,0.157
-0.78,0.78,5.31,0.9048328935585562,0.11,-840,840,0.0,0.0,0.0,0.15
-0.76,0.76,5.72,0.8958292078938495,0.12,-916,916,0.0,0.0,0.0,0.1476923076923077
-0.66,0.66,5.93,0.886915114855721,0.17,-982,982,0.0,0.0,0.0,0.1492857142857143
-0.56,0.56,6.12,0.8780897229382887,0.22,-1038,1038,0.0,0.0,0.0,0.154
-0.82,0.82,5.37,0.8693521495067424,0.09,-1120,1120,0.0,0.0,0.0,0.15
-0.7,0.7,5.64,0.8607015207090729,0.15,-1190,1190,0.0,0.0,0.0,0.15
-0.74,0.74,6.1,0.8521369713886755,0.13,-1264,1264,0.0,0.0,0.0,0.14888888888888888
-0.78,0.78,5.47,0.843657644997827,0.11,-1342,1342,0.0,0.0,0.0,0.14684210526315788
-0.86,0.86,6.24,0.8352626935120188,0.07,-1428,1428,0.0,0.0,0.0,0.143
