avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.62,0.62,4.7,1,0.19,-62,62,0.0,0.0,0.0,0.19
-0.6,0.6,5.07,0.9900493386913721,0.2,-122,122,0.0,0.0,0.0,0.195
-0.5,0.5,5.33,0.980197693043223,0.25,-172,172,0.0,0.0,0.0,0.21333333333333335
-0.74,0.74,4.38,0.970444077784251,0.13,-246,246,0.0,0.0,0.0,0.1925
-0.52,0.52,5.27,0.9607875174472562,0.24,-298,298,0.0,0.0,0.0,0.202
-0.66,0.66,5.0,0.9512270462715811,0.17,-364,364,0.0,0.0,0.0,0.19666666666666666
-0.48,0.48,5.31,0.9417617081065252,0.26,-412,412,0.0,0.0,0.0,0.2057142857142857
-0.68,0.68,4.71,0.9323905563157222,0.16,-480,480,0.0,0.0,0.0,0.2
-0.44,0.44,5.38,0.9231126536824614,0.28,-524,524,0.0,0.0,0.0,0.2088888888888889
-0.48,0.48,5.23,0.9139270723159584,0.26,-572,572,0.0,0.0,0.0,0.214
-0.62,0.62,4.86,0.9048328935585562,0.19,-684,684,0.0,0.0,0.0,0.215
-0.62,0.62,5.06,0.8958292078938495,0.19,-746,746,0.0,0.0,0.0,0.21307692307692308
-0.96,0.96,4.53,0.886915114855721,0.02,-842,842,0.0,0.0,0.0,0.1992857142857143
-0.88,0.88,5.14,0.8780897229382887,0.06,-930,930,0.0,0.0,0.0,0.19
-0.56,0.56,5.13,0.8693521495067424,0.22,-986,986,0.0,0.0,0.0,0.191875
-0.64,0.64,5.68,0.8607015207090729,0.18,-1050,1050,0.0,0.0,0.0,0.19117647058823528
-0.48,0.48,5.22,0.8521369713886755,0.26,-1098,1098,0.0,0.0,0.0,0.195
-0.58,0.58,5.27,0.843657644997827,0.21,-1156,1156,0.0,0.0,0.0,0.1957894736842105
-0.48,0.48,5.23,0.8352626935120188,0.26,-1204,1204,0.0,0.0,0.0,0.199
-0.52,0.52,5.56,0.8269512773451482,0.24,-1256,1256,0.0,0.0,0.0,0.20095238095238097
-0.5,0.5,5.12,0.8187225652655491,0.25,-1374,1374,0.0,0.0,0.0,0.20130434782608694
-0.58,0.58,4.82,0.8105757343128605,0.21,-1432,1432,0.0,0.0,0.0,0.20166666666666666
-0.64,0.64,5.39,0.8025099697157205,0.18,-1496,1496,0.0,0.0,0.0,0.2008
-0.92,0.92,5.84,0.7945244648102819,0.04,-1588,1588,0.0,0.0,0.0,0.1946153846153846
-0.48,0.48,5.25,0.7866184209595359,0.26,-1636,1636,0.0,0.0,0.0,0.19703703703703704
-0.64,0.64,4.64,0.7787910474734399,0.18,-1700,1700,0.0,0.0,0.0,0.19642857142857142
-0.52,0.52,5.05,0.7710415615298397,0.24,-1752,1752,0.0,0.0,0.0,0.19793103448275862
-0.84,0.84,5.68,0.7633691880961806,0.08,-1836,1836,0.0,0.0,0.0,0.194
-0.78,0.78,4.89,0.7557731598519929,0.11,-1914,1914,0.0,0.0,0.0,0.19129032258064516
-0.6,0.6,5.08,0.748252717112154,0.2,-1974,1974,0.0,0.0,0.0,0.1915625
-0.44,0.44,5.28,0.74080710775091,0.28,-2076,2076,0.0,0.0,0.0,0.19470588235294117
-0.62,0.62,4.91,0.7334355871266565,0.19,-2138,2138,0.0,0.0,0.0,0.19457142857142856
-0.7,0.7,4.72,0.7261374180074647,0.15,-2208,2208,0.0,0.0,0.0,0.19333333333333333
-0.52,0.52,5.14,0.7189118704973512,0.24,-2260,2260,0.0,0.0,0.0,0.1945945945945946
-0.44,0.44,5.73,0.7117582219632792,0.28,-2304,2304,0.0,0.0,0.0,0.1968421052631579
-0.62,0.62,4.97,0.7046757569628911,0.19,-2366,2366,0.0,0.0,0.0,0.19666666666666666
-0.58,0.58,5.0,0.697663767172952,0.21,-2424,2424,0.0,0.0,0.0,0.197
-0.8,0.8,4.54,0.6907215513185129,0.1,-2504,2504,0.0,0.0,0.0,0.19463414634146342
-0.5,0.5,5.02,0.6838484151027725,0.25,-2554,2554,0.0,0.0,0.0,0.19595238095238096
-0.62,0.62,4.56,0.6770436711376424,0.19,-2616,2616,0.0,0.0,0.0,0.1958139534883721
-0.58,0.58,4.86,0.6703066388750015,0.21,-2754,2754,0.0,0.0,0.0,0.194
-0.58,0.58,5.03,0.6636366445386316,0.21,-2812,2812,0.0,0.0,0.0,0.19434782608695653
-0.48,0.48,5.37,0.657033021056833,0.26,-2860,2860,0.0,0.0,0.0,0.19574468085106383
-0.6,0.6,5.08,0.6504951079957114,0.2,-2920,2920,0.0,0.0,0.0,0.19583333333333333
-0.62,0.62,5.31,0.6440222514931265,0.19,-2982,2982,0.0,0.0,0.0,0.1957142857142857
-0.6,0.6,4.75,0.6376138041932984,0.2,-3042,3042,0.0,0.0,0.0,0.1958
-0.58,0.58,5.1,0.6312691251820646,0.21,-3100,3100,0.0,0.0,0.0,0.19607843137254902
-0.74,0.74,4.5,0.6249875799227835,0.13,-3174,3174,0.0,0.0,0.0,0.19480769230769232
-0.58,0.58,5.21,0.6187685401928729,0.21,-3232,3232,0.0,0.0,0.0,0.1950943396226415
-0.9,0.9,5.63,0.6126113840209793,0.05,-3322,3322,0.0,0.0,0.0,0.19240740740740742
-0.6,0.6,5.33,0.6065154956247766,0.2,-3452,3452,0.0,0.0,0.0,0.19178571428571428
-0.88,0.88,5.29,0.6004802653493791,0.06,-3540,3540,0.0,0.0,0.0,0.18947368421052632
-0.82,0.82,4.78,0.594505089606372,0.09,-3622,3622,0.0,0.0,0.0,0.18775862068965518
-0.8,0.8,4.97,0.5885893708134431,0.1,-3702,3702,0.0,0.0,0.0,0.18627118644067797
-1.0,1.0,5.24,0.5827325173346204,0.1,-3802,3802,0.0,0.0,0.0,0.18316666666666667
-0.96,0.96,5.0,0.5769339434210992,0.02,-3898,3898,0.0,0.0,0.0,0.18049180327868852
-0.9,0.9,5.23,0.5711930691526644,0.05,-3988,3988,0.0,0.0,0.0,0.17838709677419354
-0.54,0.54,5.16,0.565509320379691,0.23,-4042,4042,0.0,0.0,0.0,0.1792063492063492
-0.68,0.68,4.49,0.5598821286657205,0.16,-4110,4110,0.0,0.0,0.0,0.17890625
-0.9,0.9,5.49,0.5543109312306146,0.05,-4200,4200,0.0,0.0,0.0,0.17692307692307693
-0.64,0.64,5.44,0.5487951708942683,0.18,-4354,4354,0.0,0.0,0.0,0.17507462686567163
-0.92,0.92,5.24,0.5433342960208886,0.04,-4446,4446,0.0,0.0,0.0,0.17308823529411765
-0.54,0.54,4.59,0.5379277604638235,0.23,-4500,4500,0.0,0.0,0.0,0.17391304347826086
-0.62,0.62,5.14,0.5325750235109391,0.19,-4562,4562,0.0,0.0,0.0,0.17414285714285715
-0.52,0.52,5.42,0.5272755498305473,0.24,-4614,4614,0.0,0.0,0.0,0.17507042253521127
-0.58,0.58,5.08,0.5220288094178624,0.21,-4672,4672,0.0,0.0,0.0,0.17555555555555555
-0.8,0.8,3.41,0.5168342775419988,0.1,-4752,4752,0.0,0.0,0.0,0.17452054794520547
-0.74,0.74,4.94,0.5116914346934888,0.13,-4826,4826,0.0,0.0,0.0,0.17391891891891892
-0.7,0.7,4.67,0.506599766532328,0.15,-4896,4896,0.0,0.0,0.0,0.1736
