avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.84,0.84,6.35,1,0.08,-84,84,0.0,0.0,0.0,0.08
-0.76,0.76,6.23,0.9900493386913721,0.12,-160,160,0.0,0.0,0.0,0.1
-0.8,0.8,5.95,0.980197693043223,0.1,-240,240,0.0,0.0,0.0,0.1
-0.78,0.78,6.26,0.970444077784251,0.11,-318,318,0.0,0.0,0.0,0.1025
-0.72,0.72,6.24,0.9607875174472562,0.14,-390,390,0.0,0.0,0.0,0.11
-0.68,0.68,7.26,0.9512270462715811,0.16,-458,458,0.0,0.0,0.0,0.11833333333333333
-0.58,0.58,6.99,0.9417617081065252,0.21,-516,516,0.0,0.0,0.0,0.13142857142857142
-0.58,0.58,7.07,0.9323905563157222,0.21,-574,574,0.0,0.0,0.0,0.14125
-0.76,0.76,6.6,0.9231126536824614,0.12,-650,650,0.0,0.0,0.0,0.1388888888888889
-0.76,0.76,6.42,0.9139270723159584,0.12,-726,726,0.0,0.0,0.0,0.137
-0.66,0.66,7.54,0.9048328935585562,0.17,-870,870,0.0,0.0,0.0,0.1375
-0.78,0.78,6.29,0.8958292078938495,0.11,-948,948,0.0,0.0,0.0,0.13538461538461538
-0.64,0.64,6.63,0.886915114855721,0.18,-1012,1012,0.0,0.0,0.0,0.13857142857142857
-0.66,0.66,6.33,0.8780897229382887,0.17,-1078,1078,0.0,0.0,0.0,0.14066666666666666
-0.7,0.7,7.0,0.8693521495067424,0.15,-1148,1148,0.0,0.0,0.0,0.14125
-0.66,0.66,7.61,0.8607015207090729,0.17,-1214,1214,0.0,0.0,0.0,0.14294117647058824
-0.44,0.44,6.87,0.8521369713886755,0.28,-1258,1258,0.0,0.0,0.0,0.15055555555555555
-0.54,0.54,6.66,0.843657644997827,0.23,-1312,1312,0.0,0.0,0.0,0.15473684210526314
0.14,-0.14,6.14,0.8352626935120188,0.57,-1298,1298,0.0,0.0,0.0,0.1755
0.26,-0.26,6.12,0.8269512773451482,0.63,-1272,1272,0.0,0.0,0.0,0.19714285714285715
0.26,-0.26,6.19,0.8187225652655491,0.63,-1222,1222,0.0,0.0,0.0,0.23434782608695653
0.26,-0.26,6.33,0.8105757343128605,0.63,-1196,1196,0.0,0.0,0.0,0.25083333333333335
0.26,-0.26,6.04,0.8025099697157205,0.63,-1170,1170,0.0,0.0,0.0,0.266
0.38,-0.38,6.36,0.7945244648102819,0.69,-1132,1132,0.0,0.0,0.0,0.2823076923076923
-0.16,0.16,6.27,0.7866184209595359,0.42,-1148,1148,0.0,0.0,0.0,0.2874074074074074
