avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.84,0.84,6.45,1,0.08,-84,84,0.0,0.0,0.0,0.08
-0.92,0.92,5.55,0.9900493386913721,0.04,-176,176,0.0,0.0,0.0,0.06
-0.86,0.86,5.49,0.980197693043223,0.07,-262,262,0.0,0.0,0.0,0.06333333333333334
-0.82,0.82,6.2,0.970444077784251,0.09,-344,344,0.0,0.0,0.0,0.07
-0.92,0.92,6.3,0.9607875174472562,0.04,-436,436,0.0,0.0,0.0,0.064
-0.82,0.82,6.8,0.9512270462715811,0.09,-518,518,0.0,0.0,0.0,0.06833333333333333
-0.8,0.8,6.13,0.9417617081065252,0.1,-598,598,0.0,0.0,0.0,0.07285714285714286
-0.8,0.8,6.01,0.9323905563157222,0.1,-678,678,0.0,0.0,0.0,0.07625
-0.9,0.9,5.6,0.9231126536824614,0.05,-768,768,0.0,0.0,0.0,0.07333333333333333
-0.82,0.82,7.47,0.9139270723159584,0.09,-850,850,0.0,0.0,0.0,0.075
-0.92,0.92,6.16,0.9048328935585562,0.04,-1034,1034,0.0,0.0,0.0,0.06916666666666667
-0.88,0.88,6.04,0.8958292078938495,0.06,-1122,1122,0.0,0.0,0.0,0.06846153846153846
-0.86,0.86,5.39,0.886915114855721,0.07,-1208,1208,0.0,0.0,0.0,0.06857142857142857
-0.6,0.6,6.04,0.8780897229382887,0.2,-1268,1268,0.0,0.0,0.0,0.07733333333333334
-0.6,0.6,6.97,0.8693521495067424,0.2,-1328,1328,0.0,0.0,0.0,0.085
-0.52,0.52,7.16,0.8607015207090729,0.24,-1380,1380,0.0,0.0,0.0,0.09411764705882353
-0.5,0.5,6.7,0.8521369713886755,0.25,-1430,1430,0.0,0.0,0.0,0.10277777777777777
-0.38,0.38,7.28,0.843657644997827,0.31,-1468,1468,0.0,0.0,0.0,0.11368421052631579
